Cell_lines,color,Tissue
BT474,b,breast
CAMA1,g,breast
HCC1419,tab:purple,breast
HCC1500,r,breast
MCF7,c,breast
MDAMB175VII,sienna,breast
MDAMB361,m,breast
T47D,y,breast
UACC812,tab:orange,breast
CALU6,purple,lung
NCIH1299,gold,lung
NCIH1703,peru,lung
NCIH1793,olive,lung
NCIH1975,darkslategray,lung
NCIH2085,deepskyblue,lung
NCIH2170,deeppink,lung
NCIH2228,cornflowerblue,lung
NCIH2291,slategray,lung
NCIH23,k,lung
NCIH358,midnightblue,lung
NCIH520,darkgoldenrod,lung
NCIH838,lightpink,lung
